material_number,descripcion,forma,linea,fuente,fecha_agregado
21071504233,RAMBLER 20 OZ STK MS CUSTOM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071504282,YETI SHOT GLASSES & CASE CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504283,YETI SHOT GLASSES & CASE CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504284,YETI SHOT GLASSES & CASE CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504296,YETI FLASK CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504297,YETI FLASK CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504298,YETI FLASK CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504377,RAMBLER 20 OZ TUMBLER MS CSTM RRED,REGULAR,DC,auto_aprobado,2026-08-03
21071504498,RAMBLER 26 OZ C STRAW BOTTLE CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504499,RAMBLER 26 OZ C STRAW BOTTLE CSTMSEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504544,RAMBLER 8 OZ FOOD JAR CSTM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504545,RAMBLER 8 OZ FOOD JAR CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504546,RAMBLER 8 OZ FOOD JAR CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504547,RAMBLER 8 OZ FOOD JAR CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504549,RAMBLER 8 OZ FOOD JAR CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504551,RAMBLER 8 OZ FOOD JAR CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071504555,RAMBLER 16 OZ FOOD JAR CSTM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504556,RAMBLER 16 OZ FOOD JAR CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504557,RAMBLER 16 OZ FOOD JAR CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504558,RAMBLER 16 OZ FOOD JAR CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504560,RAMBLER 16 OZ FOOD JAR CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504562,RAMBLER 16 OZ FOOD JAR CSTM TROPICALPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071504566,RAMBLER 24 OZ FOOD JAR CSTM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504567,RAMBLER 24 OZ FOOD JAR CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504568,RAMBLER 24 OZ FOOD JAR CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504569,RAMBLER 24 OZ FOOD JAR CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504571,RAMBLER 24 OZ FOOD JAR CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504573,RAMBLER 24 OZ FOOD JAR CSTM TROPICALPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071504592,BOOMER 4 DOG BOWL CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504593,BOOMER 4 DOG BOWL CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504594,BOOMER 8 DOG BOWL CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504595,BOOMER 8 DOG BOWL CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504600,YETI FLASK CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504602,YETI SHOT GLASSES & CASE CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071505044,RAMBLER 20 OZ TUMBLER MS CSTM FF YELLOW,REGULAR,DC,auto_aprobado,2026-08-03
21071505059,RAMBLER 42 OZ STRAW MUG CSTM FF YELLOW,REGULAR,DC,auto_aprobado,2026-08-03
21071505111,RAMBLER 30 OZ STK MS CSTM ULTRA VIOLET,REGULAR,DC,auto_aprobado,2026-08-03
